id,fillKey,info,type
EGY,Female,Sekhmet,War
GRC,Male,Ares,War
JPN,Male,Hachiman,War
MEX,Male,Huitzilopochtli,War
NGA,Male,Ogun,War
SWE,Male,Tyr,War
IRL,Female,Morrigan ,War
