name,culture,location,gender,species,type,linkwik,linkgc,lon,lat,picture
Ra,Egyptian,Egypt,Male,Human,Sun,http://en.wikipedia.org/wiki/Ra,http://www.godchecker.com/pantheon/egyptian-mythology.php?deity=RA,27.45762,31.32126
Sekhmet,Egyptian,Egypt,Female,Animal,War,http://en.wikipedia.org/wiki/Sekhmet,http://www.godchecker.com/pantheon/egyptian-mythology.php?deity=SEKHMET,30.97693,31.55586
Thoth,Egyptian,Egypt,Male,Animal,Wisdom,http://en.wikipedia.org/wiki/Thoth,http://www.godchecker.com/pantheon/egyptian-mythology.php?deity=THOTH,34.9226,29.50133
Demeter,Greek,Greece,Female,Human,Agriculture,http://en.wikipedia.org/wiki/Demeter,http://www.godchecker.com/pantheon/greek-mythology.php?deity=DEMETER,23.69998,35.705004
Hades,Greek,Greece,Male,Human,Death,http://en.wikipedia.org/wiki/Hades,http://www.godchecker.com/pantheon/greek-mythology.php?deity=HADES,25.769208,35.354018
Aphrodite,Greek,Greece,Female,Human,Love,http://en.wikipedia.org/wiki/Aphrodite,http://www.godchecker.com/pantheon/greek-mythology.php?deity=APHRODITE,24.735007,35.084991
Diana,Greek,Greece,Female,Human,Moon,http://en.wikipedia.org/wiki/Diana_(mythology),http://www.godchecker.com/pantheon/roman-mythology.php?deity=DIANA,25.447677,40.852545
Hera,Greek,Greece,Female,Human,Motherhood,http://en.wikipedia.org/wiki/Hera,GodChecker,23.342999,39.960998
Poseidon,Greek,Greece,Male,Human,Sea,http://en.wikipedia.org/wiki/Poseidon,http://www.godchecker.com/pantheon/greek-mythology.php?deity=POSEIDON,24.025025,38.219993
Zeus,Greek,Greece,Male,Human,Sky,http://en.wikipedia.org/wiki/Zeus,http://www.godchecker.com/pantheon/greek-mythology.php?deity=ZEUS,23.154225,36.422506
Apollo,Greek,Greece,Male,Human,Sun,http://en.wikipedia.org/wiki/Apollo,http://www.godchecker.com/pantheon/greek-mythology.php?deity=APOLLO,20.615,40.110007
Ares,Greek,Greece,Male,Human,War,http://en.wikipedia.org/wiki/Ares,http://www.godchecker.com/pantheon/greek-mythology.php?deity=ARES,20.99999,40.580004
Athena,Greek,Greece,Female,Human,Wisdom,http://en.wikipedia.org/wiki/Athena,http://www.godchecker.com/pantheon/greek-mythology.php?deity=ATHENA,22.952377,41.337994
Zaramama,Inca,Peru,Female,Human,Agriculture,http://en.wikipedia.org/wiki/Inca_mythology,http://www.godchecker.com/pantheon/incan-mythology.php?deity=ZARAMAMMA,-69.590424,-17.580012
Supay,Inca,Peru,Male,Human,Death,http://en.wikipedia.org/wiki/Supay,http://www.godchecker.com/pantheon/incan-mythology.php?deity=SUPAY,-71.37525,-17.773799
Chasca,Inca,Peru,Female,Human,Love,http://en.wikipedia.org/wiki/Inca_mythology,http://www.godchecker.com/pantheon/incan-mythology.php?deity=CHASCA,-76.259242,-13.535039
Mama-Quilla,Inca,Peru,Female,Human,Moon,http://en.wikipedia.org/wiki/Mama_Killa,http://www.godchecker.com/pantheon/incan-mythology.php?deity=MAMA-QUILLA,-79.036953,-8.386568
Mama-Pacha,Inca,Peru,Female,,Motherhood,http://en.wikipedia.org/wiki/Pachamama,http://www.godchecker.com/pantheon/incan-mythology.php?deity=MAMA-PACHA,-81.410943,-4.736765
Mama-Qucha,Inca,Peru,Female,Human,Sea,http://en.wikipedia.org/wiki/Inca_mythology,http://www.godchecker.com/pantheon/incan-mythology.php?deity=MAMA-COCHA,-80.028908,-4.346091
Viracocha,Inca,Peru,Male,,Sky,http://en.wikipedia.org/wiki/Viracocha,http://www.godchecker.com/pantheon/incan-mythology.php?deity=VIRACOCHA,-75.373223,-0.152032
Catequil,Inca,Peru,Male,,Storm,http://en.wikipedia.org/wiki/Inca_mythology,http://www.godchecker.com/pantheon/incan-mythology.php?deity=CATEQUIL,-70.813476,-2.256865
Inti,Inca,Peru,Male,Human,Sun,http://en.wikipedia.org/wiki/Inti,http://www.godchecker.com/pantheon/incan-mythology.php?deity=INTI,-73.724487,-6.918595
Tsukiyomi,Japanese,Japan,Male,Human,Moon,http://en.wikipedia.org/wiki/Tsukuyomi-no-Mikoto,http://www.godchecker.com/pantheon/japanese-mythology.php?deity=TSUKIYOMI,133.79295,33.521985
Ebisu,Japanese,Japan,Male,Human,Sea,http://en.wikipedia.org/wiki/Ebisu_(mythology),http://www.godchecker.com/pantheon/japanese-mythology.php?deity=EBISU,140.59977,36.343983
Susanoo,Japanese,Japan,Male,Human,Storm,http://en.wikipedia.org/wiki/Susanoo-no-Mikoto,http://www.godchecker.com/pantheon/japanese-mythology.php?deity=SUSANOO,135.079435,34.596545
Amaterasu,Japanese,Japan,Female,Human,Sun,http://en.wikipedia.org/wiki/Amaterasu,http://www.godchecker.com/pantheon/japanese-mythology.php?deity=AMATERASU,129.408463,33.296056
Hachiman,Japanese,Japan,Male,Human,War,http://en.wikipedia.org/wiki/Hachiman,http://www.godchecker.com/pantheon/japanese-mythology.php?deity=HACHIMAN,141.884601,39.180865
Benzaiten,Japanese,Japan,Female,Human,Wisdom,http://en.wikipedia.org/wiki/Benzaiten,,139.817544,42.563759
Freyre,Norse,Scandinavia,Male,Human,Agriculture,http://en.wikipedia.org/wiki/Freyr,http://www.godchecker.com/pantheon/norse-mythology.php?deity=FREYR,28.165547,71.185474
Hel,Norse,Finland,Female,Human,Death,http://en.wikipedia.org/wiki/Hel_(being),http://www.godchecker.com/pantheon/norse-mythology.php?deity=HEL,17.993868,68.567391
Freya,Norse,Finland,Female,Human,Love,http://en.wikipedia.org/wiki/Freyja,http://www.godchecker.com/pantheon/norse-mythology.php?deity=FREYA,16.435927,68.563205
Mani,Norse,Finland,Male,Human,Moon,http://en.wikipedia.org/wiki/M%C3%A1ni,http://www.godchecker.com/pantheon/norse-mythology.php?deity=MANI,12.089991,54.800015
Aegir,Norse,Sweden,Male,Human,Sea,http://en.wikipedia.org/wiki/%C3%86gir,http://www.godchecker.com/pantheon/norse-mythology.php?deity=AEGIR,14.666681,56.200885
Thor,Norse,Denmark,Male,Human,Storm,http://en.wikipedia.org/wiki/Thor,http://www.godchecker.com/pantheon/norse-mythology.php?deity=THOR,23.56588,66.396051
Sol,Norse,Denmark,Female,Human,Sun,http://en.wikipedia.org/wiki/S%C3%B3l_(sun),http://www.godchecker.com/pantheon/norse-mythology.php?deity=SOL,18.660278,57.929434
Tyr,Norse,Norway,Male,Human,War,http://en.wikipedia.org/wiki/T%C3%BDr,http://www.godchecker.com/pantheon/norse-mythology.php?deity=TYR,22.869695,59.846373
Odin,Norse,Norway,Male,Human,Wisdom,http://en.wikipedia.org/wiki/Odin,http://www.godchecker.com/pantheon/norse-mythology.php?deity=ODIN,26.179622,69.825299
Eshu,Yoruba,Nigeria,Male,Human,Chaos,http://en.wikipedia.org/wiki/Eshu,http://www.godchecker.com/pantheon/african-mythology.php?deity=ESHU,8.500288,4.771983
Oshun,Yoruba,Nigeria,Female,Human,Love,http://en.wikipedia.org/wiki/Oshun,http://www.godchecker.com/pantheon/african-mythology.php?deity=OSHUN,3.60007,10.332186
Yemoja,Yoruba,Nigeria,Female,Human,Sea,http://en.wikipedia.org/wiki/Yemoja,http://www.godchecker.com/pantheon/african-mythology.php?deity=YEMAYA,9.014933,12.826659
Olorun,Yoruba,Nigeria,Male,Human,Sky,http://en.wikipedia.org/wiki/Olorun,http://www.godchecker.com/pantheon/african-mythology.php?deity=OLORUN,14.181336,12.483657
Shango,Yoruba,Nigeria,Male,Human,Storm,http://en.wikipedia.org/wiki/Shango,http://www.godchecker.com/pantheon/african-mythology.php?deity=SHANGO,13.1676,9.640626
Ogun,Yoruba,Nigeria,Male,Human,War,http://en.wikipedia.org/wiki/Ogun,http://www.godchecker.com/pantheon/african-mythology.php?deity=OGUN,11.058788,6.644427
OrunMila,Yoruba,Nigeria,Male,Human,Wisdom,http://en.wikipedia.org/wiki/Orunmila,http://www.godchecker.com/pantheon/african-mythology.php?deity=ORUNMILA,8.500288,4.771983
